Product Name,Price
Nike ISPA Sense Flyknit,$100.97
Nike Court Vision Mid Winter,$85.97
Nike Phantom Luna FG By You,$150
Nike Pegasus 40 (Florida),$98.97
NikeCourt Air Zoom GP Turbo Naomi Osaka Premium,$127.97
Nike Spark Flyknit,$92.97
Air Pegasus '89 G,$120
Nike SFB B2,$170
Nike Offcourt (LSU),$28.97
Nike Air Force 1 '07,$93.97
Nike Alpha Menace 3 Shark,$35.97
Nike Invincible 3 By You,$210
Dunk High Warped Unlocked By You Greatest Gift,$165
Nike Dunk Low By Kamryn,$150
Nike ACG Mountain Fly Low SE,$150
KD16 By You,$190
Nike Air Max Excee,$80.97
Nike Air Zoom Tiger Woods '20,$136.97
Nike Phantom GT2 Elite FG,$175.97
Nike Air Force 1 '07 WB,$140
Nike Air Presto By You,$150
LeBron Soldier 14,$119.97
Nike Pegasus FlyEase By You,$160
Jordan 1 Retro Metal,$150
Nike Terminator High (Tuskegee),$150
NikeCourt Air Zoom Vapor Pro 2 Premium,$105.97
Nike Dunk High Warped Unlocked By You,$165
Nike Air Max TW,$136.97
Jordan 1 Mid TD,$120.97
"Nike Alpha Menace Elite 3 ""Travis Kelce""",$110.97
Nike Air Zoom Infinity Tour NEXT% NRG,$180
Nike Reax 8 TR,$90
Nike Dunk Low By Talisha,$150
Nike Mercurial Superfly 9 Academy,$95
Nike G.T. Cut 2,$144.97
Nike Terminator High (Tennessee State),$150
Nike Pegasus Trail 4,$140
Nike Pegasus 38 Shield,$109.97
Nike Roshe One,$59.97
Nike Alpha Menace Elite 3,$153.97
Nike Air Humara,$160
Nike InfinityRN 4 By You,$190
Nike ACG Air Deschutz+ SE,$85
Nike Dunk Low By You,$150
Nike Mercurial Vapor 15 Academy,$76.97
Nike Dunk Low By Naomi,$150
Nike Air Max 90 G,$130
Nike Pegasus 40 (Michigan State),$98.97
Nike SB Zoom Blazer Mid,$90
Nike React SFB Carbon Low,$145
Nike Pegasus 40 (FAMU),$98.97
Nike Offline 2.0 PRM,$119.97
Nike Dunk Low By Emily,$150
Converse Custom Chuck Taylor All Star High Top,$85
Nike Air VaporMax Moc Roam,$220
Nike Pegasus 40 (Clemson),$98.97
Nike SB Force 58,$80
"Nike SFB 6"" Leather",$155
Nike Phantom Luna Elite,$275
Nike G.T. Cut 2 (Team),$144.97
Nike Air Huarache By You,$130
Nike Air Force 1 Mid Evo,$116.97
Nike Zegama,$118.97
Air Jordan 11 CMFT Low,$110.97
Nike Blazer Mid '77 Vintage,$105
Nike Air Force 1 SP,$155
Nike Air Force 1 '07 EasyOn,$115
Nike SFB Gen 2 8”,$145
Bethune-Cookman,$28.97
Jordan Delta 3 Nitro Low,$90.97
Nike Metcon 8 AMP,$97.97
Nike Air Zoom Maxfly,$190
Nike SuperRep Go 3 Next Nature Flyknit,$70.97
Freak 5 By You,$160
Nike College Air Max SYSTM (Michigan),$110
Nike Woodside 2,$125
Nike Mercurial Vapor 15 Elite By You,$280
